filename distance
../data/17flower_images/image_0320.jpg 1128200.83
../data/17flower_images/image_1295.jpg 7078898.85
../data/17flower_images/image_0471.jpg 282784.47
../data/17flower_images/image_1016.jpg 942728.28
../data/17flower_images/image_0588.jpg 18026.83
../data/17flower_images/image_1091.jpg 398642.53
../data/17flower_images/image_1021.jpg 6449846.79
../data/17flower_images/image_1019.jpg 87305.25
../data/17flower_images/image_0542.jpg 843370.05
../data/17flower_images/image_1321.jpg 25531.39
../data/17flower_images/image_0276.jpg 50999.76
../data/17flower_images/image_0277.jpg 38388.67
../data/17flower_images/image_0726.jpg 37158.96
../data/17flower_images/image_1201.jpg 4290.45
../data/17flower_images/image_0030.jpg 10710.82
../data/17flower_images/image_0066.jpg 3779.05
../data/17flower_images/image_0567.jpg 25580.4
../data/17flower_images/image_0956.jpg 21937.77
../data/17flower_images/image_1187.jpg 302288.74
../data/17flower_images/image_0615.jpg 2619606.57
../data/17flower_images/image_0366.jpg 5322.34
../data/17flower_images/image_0145.jpg 13417.97
../data/17flower_images/image_0940.jpg 68220.62
../data/17flower_images/image_0076.jpg 707310.31
../data/17flower_images/image_0274.jpg 5366920.4
../data/17flower_images/image_1139.jpg 32072.13
../data/17flower_images/image_0161.jpg 5271.78
../data/17flower_images/image_0085.jpg 11470.47
../data/17flower_images/image_1242.jpg 15237.33
../data/17flower_images/image_0823.jpg 6620.92
../data/17flower_images/image_1218.jpg 72876.97
../data/17flower_images/image_0858.jpg 1736.99
../data/17flower_images/image_0844.jpg 12974.96
../data/17flower_images/image_0429.jpg 3223434.21
../data/17flower_images/image_0653.jpg 174890.44
../data/17flower_images/image_0986.jpg 68461.84
../data/17flower_images/image_1249.jpg 22429.93
../data/17flower_images/image_1339.jpg 92203.25
../data/17flower_images/image_0918.jpg 4574.44
../data/17flower_images/image_1008.jpg 139844.54
../data/17flower_images/image_0770.jpg 94448.41
../data/17flower_images/image_1183.jpg 162017.6
../data/17flower_images/image_0409.jpg 4980206.94
../data/17flower_images/image_0117.jpg 208598.52
../data/17flower_images/image_0023.jpg 25619.78
../data/17flower_images/image_0382.jpg 4418.09
../data/17flower_images/image_0495.jpg 24448.72
../data/17flower_images/image_1097.jpg 37722.79
../data/17flower_images/image_0329.jpg 161816.24
../data/17flower_images/image_0778.jpg 332960.45
../data/17flower_images/image_0124.jpg 261038.57
../data/17flower_images/image_0950.jpg 77879.78
../data/17flower_images/image_0390.jpg 1281746.78
../data/17flower_images/image_0537.jpg 86834.97
../data/17flower_images/image_1336.jpg 2345.77
../data/17flower_images/image_0224.jpg 980153.25
../data/17flower_images/image_0386.jpg 46235.64
../data/17flower_images/image_0095.jpg 18705.51
../data/17flower_images/image_0701.jpg 5010978.98
../data/17flower_images/image_0444.jpg 304122.53
../data/17flower_images/image_0546.jpg 412906.62
../data/17flower_images/image_0656.jpg 3455445.09
../data/17flower_images/image_0717.jpg 446447.3
../data/17flower_images/image_0847.jpg 85782.96
../data/17flower_images/image_0746.jpg 101565.14
../data/17flower_images/image_0921.jpg 757586.8
../data/17flower_images/image_0587.jpg 1539.26
../data/17flower_images/image_1353.jpg 803556.76
../data/17flower_images/image_0668.jpg 119576.36
../data/17flower_images/image_0350.jpg 113748.47
../data/17flower_images/image_0378.jpg 751814.21
../data/17flower_images/image_0871.jpg 2870268.41
